date,fit,se.fit,ucl,lcl
1980-11-01,4.7743435630941964e-5,0.10376657760307181,5.8511544455064864e-5,3.8957024072342474e-5
1980-12-01,3.655950500223696e-5,0.10766357298955355,4.514871461426353e-5,2.9604329102789718e-5
1981-01-01,5.28255735970716e-5,0.10013817286646987,6.428113775525274e-5,4.341150955486314e-5
1981-02-01,3.0535857423342855e-5,0.0986243825452391,3.704766904831757e-5,2.516861688012373e-5
1981-03-01,1.706151999762079e-5,0.09782581692606387,2.066753757952582e-5,1.4084670876204727e-5
1981-04-01,1.9612947711025533e-5,0.10291950571610645,2.399660055665512e-5,1.6030092137727377e-5
1981-05-01,2.479561430351775e-5,0.12037289383296759,3.1393399595238696e-5,1.958445076404091e-5
1981-06-01,4.891086684711625e-5,0.09948760392371817,5.944165845772546e-5,4.024572930510855e-5
1981-07-01,1.3869588222222752e-4,0.09959954966502395,1.685948932304848e-4,1.1409923145835664e-4
1981-08-01,2.3101699689033475e-4,0.09767888273821433,2.797627430150843e-4,1.9076468966902927e-4
1981-09-01,1.496649781393725e-4,0.09793319454586778,1.8133540421045083e-4,1.2352582651462113e-4
1981-10-01,7.74773225451319e-5,0.1124093161883199,9.657380560601477e-5,6.215697384082941e-5
1981-11-01,3.691989618483275e-5,0.12258478553206058,4.694688129603557e-5,2.903448954795497e-5
1981-12-01,4.9571280112673145e-5,0.1577958480783698,6.75380740107616e-5,3.638409664476888e-5
1982-01-01,5.462978983013167e-5,0.10182259837973452,6.669644332745272e-5,4.474622315663947e-5
1982-02-01,2.9914642855947855e-5,0.09959558448351014,3.6363133073335524e-5,2.460970168313458e-5
1982-03-01,1.699015820328284e-5,0.09785442845140298,2.058224738774511e-5,1.4024973577202926e-5
1982-04-01,1.9016801220332646e-5,0.09767973154858485,2.3029480061769948e-5,1.5703295414557923e-5
1982-05-01,2.4728946130742756e-5,0.09913272124554816,3.0032333939977023e-5,2.03620796824972e-5
1982-06-01,4.98539846535085e-5,0.11426985139286429,6.236893624344996e-5,3.985028341882746e-5
1982-07-01,1.4662274099034423e-4,0.15890028465708916,2.001981163643504e-4,1.0738476747901007e-4
1982-08-01,2.3722384075977132e-4,0.15819147946598838,3.234548286404408e-4,1.739814825499915e-4
1982-09-01,1.437962285392758e-4,0.1149511390160778,1.8013407780261999e-4,1.1478869292448164e-4
1982-10-01,8.950858890395017e-5,0.0996439770638298,1.0881364945783844e-4,7.36285156089783e-5
1982-11-01,6.113951164515735e-5,0.12584933938812526,7.824328680780087e-5,4.7774576410504885e-5
1982-12-01,3.547862539792614e-5,0.10656435500328987,4.3719601545462374e-5,2.8791041446648616e-5
1983-01-01,4.796039633015568e-5,0.10284863913659201,5.867178380983953e-5,3.920452842546533e-5
1983-02-01,3.1875933666795837e-5,0.09781070855186404,3.861189089546936e-5,2.6315083865763023e-5
1983-03-01,1.924183778140192e-5,0.10528638262989647,2.3652013989117393e-5,1.5653987071720093e-5
1983-04-01,1.7261665029201534e-5,0.12447104688943944,2.2031018681948783e-5,1.3524798098623476e-5
1983-05-01,2.4829659082936935e-5,0.1507220745975458,3.336322133372376e-5,1.8478790282510827e-5
1983-06-01,5.1276367863591485e-5,0.1545844017600554,6.942280445989957e-5,3.787323087474938e-5
1983-07-01,1.437043724723691e-4,0.12274690436181294,1.8279076772424965e-4,1.1297587358914388e-4
1983-08-01,2.360801265734436e-4,0.1417825161048595,3.117074221557266e-4,1.7880172944707417e-4
1983-09-01,1.5084344616710771e-4,0.09753159019282297,1.8261944195537984e-4,1.245965106887614e-4
1983-10-01,1.0296046458935344e-4,0.11298233152051071,1.2848220925675452e-4,8.250836695430031e-5
1983-11-01,6.972066873815887e-5,0.14894879962297813,9.335752334683272e-5,5.206834409303126e-5
1983-12-01,4.9203205839292764e-5,0.15600138437206637,6.680123003561982e-5,3.624118094192141e-5
1984-01-01,5.3241402596617015e-5,0.10041188868273307,6.482190846336993e-5,4.372976695150654e-5
1984-02-01,3.0068614108936555e-5,0.09931846992486691,3.653044812925166e-5,2.4749807372556306e-5
1984-03-01,1.4878547259228515e-5,0.10856968803189299,1.8406741488431578e-5,1.2026635387052376e-5
1984-04-01,1.949180545756679e-5,0.10132677306405104,2.377404928233838e-5,1.5980890570369893e-5
1984-05-01,2.4733920336942817e-5,0.09823403004957128,2.9985510852795323e-5,2.040208079954066e-5
1984-06-01,4.9884624597847156e-5,0.11495923861747807,6.249164942876169e-5,3.9820932780865604e-5
1984-07-01,1.3724205671035244e-4,0.10744117056731868,1.694115392777929e-4,1.1118122301694126e-4
1984-08-01,2.3344171320313617e-4,0.11079794746190333,2.9006249527653273e-4,1.8787342159234388e-4
1984-09-01,1.4731357470157226e-4,0.10188601080102198,1.7987462082720204e-4,1.2064675489825343e-4
1984-10-01,8.055495863913666e-5,0.10649949246917845,9.925364781879596e-5,6.537897098955953e-5
1984-11-01,2.773111746009464e-5,0.17662388515862415,3.920240008586643e-5,1.961652536327278e-5
1984-12-01,2.836228554757463e-5,0.12527273823670254,3.625563639221559e-5,2.2187425777881993e-5
1985-01-01,4.764474199037779e-5,0.10343250484159124,5.835237070897862e-5,3.890195739691486e-5
1985-02-01,2.865829142692856e-5,0.10277730728083212,3.505388074622101e-5,2.342957898033322e-5
1985-03-01,1.3218665265331174e-5,0.13070517265175768,1.7078357257570357e-5,1.0231259878312864e-5
1985-04-01,1.4753169458429574e-5,0.23444243210795293,2.33585972089912e-5,9.318025698279474e-6
1985-05-01,2.4776625140061595e-5,0.10777120822313346,3.060404660315254e-5,2.005882298153003e-5
1985-06-01,4.878536100043252e-5,0.09865009922622757,5.919188666027758e-5,4.0208406628466154e-5
1985-07-01,1.4137271631376865e-4,0.10324844078973336,1.7308221708279165e-4,1.1547254972111403e-4
1985-08-01,2.3029326940418048e-4,0.09784018955416691,2.789744924093261e-4,1.901069501904522e-4
1985-09-01,1.4537932584719542e-4,0.10810427716278581,1.7968956985308537e-4,1.1762034046308404e-4
1985-10-01,7.62602536048853e-5,0.11524191884803393,9.558596894189559e-5,6.084184053641389e-5
1985-11-01,5.29653095586837e-5,0.10863118190280327,6.55330292662815e-5,4.280778789041277e-5
1985-12-01,3.932345769399229e-5,0.11387404848413245,4.9156759431799085e-5,3.1457206351379025e-5
1986-01-01,5.85410624221286e-5,0.1092319550273467,7.251714825919158e-5,4.725855982729128e-5
1986-02-01,2.7526110654263852e-5,0.10708056145449979,3.3954212742928106e-5,2.2314956128929445e-5
1986-03-01,1.5390399520382218e-5,0.10415898247375355,1.8876080016235608e-5,1.2548389135522337e-5
1986-04-01,1.6841442467177806e-5,0.13873431782570575,2.2104073775735697e-5,1.2831760663349475e-5
1986-05-01,2.476428239332707e-5,0.10200879511201165,3.0245264518894906e-5,2.0276552121847885e-5
1986-06-01,4.957601304529914e-5,0.1085402968359285,6.132858764509763e-5,4.007561830203237e-5
1986-07-01,1.4387144363447817e-4,0.12454785284615505,1.8365039808192695e-4,1.1270867098384916e-4
1986-08-01,2.321601854760888e-4,0.10143892911887542,2.8322677139776243e-4,1.9030104906501706e-4
1986-09-01,1.3969153142499223e-4,0.13856186923122993,1.8328052606064255e-4,1.0646916162496734e-4
