date,bF
2002-06-01,3.217044558872888e-5
2002-07-01,8.066524017788312e-5
2002-08-01,2.3054954613686672e-4
2002-09-01,3.9781035640294374e-4
2002-10-01,3.595501634331968e-4
2002-11-01,1.8833579989357928e-4
2002-12-01,7.403347339646031e-5
2003-01-01,5.0599105202490316e-5
2003-02-01,6.220469706998022e-5
2003-03-01,5.9143881632400466e-5
2003-04-01,4.278764913783365e-5
2003-05-01,2.273293132285797e-5
2003-06-01,3.1532775705899764e-5
2003-07-01,1.1270815179004617e-4
2003-08-01,1.7781424682689886e-4
2003-09-01,4.2137225857347957e-4
2003-10-01,1.6442317928748744e-4
2003-11-01,1.6088411143778584e-4
2003-12-01,1.2555719992905285e-4
2004-01-01,7.594648304494766e-5
2004-02-01,1.2322970485672657e-4
2004-03-01,1.7185203342244663e-5
2004-04-01,1.2721514162440855e-5
2004-05-01,3.634718332125958e-5
2004-06-01,4.788900820046658e-5
2004-07-01,1.0974298683489079e-4
2004-08-01,2.8972531126340867e-4
2004-09-01,4.422240637419916e-4
2004-10-01,2.5605634145003134e-4
2004-11-01,1.9120531436631028e-4
2004-12-01,1.5524073297474818e-4
2005-01-01,3.3541435836811475e-5
2005-02-01,2.1617009027907016e-5
2005-03-01,2.847196026832001e-5
2005-04-01,1.9608348896995302e-5
2005-05-01,2.4199572053364934e-5
2005-06-01,3.631529982711813e-5
2005-07-01,1.291281512728959e-4
2005-08-01,3.8936123045545795e-4
2005-09-01,5.856997873785426e-4
2005-10-01,2.550998366257877e-4
2005-11-01,1.494698205351447e-4
2005-12-01,4.310648407924821e-5
2006-01-01,2.0501086732956065e-5
2006-02-01,3.7654406581059275e-5
2006-03-01,2.792994086791526e-5
2006-04-01,2.2764814816999423e-5
2006-05-01,2.4805358442052593e-5
2006-06-01,1.3837436457391807e-5
2006-07-01,6.577564841382327e-5
2006-08-01,1.8878216881155964e-4
2006-09-01,3.7724550268170476e-4
2006-10-01,1.4216850037675132e-4
2006-11-01,7.926236643565907e-5
2006-12-01,4.702815385864727e-5
2007-01-01,4.7346988800061826e-5
2007-02-01,1.2393114172783862e-4
2007-03-01,5.1810677979865635e-5
2007-04-01,8.481009441627236e-6
2007-05-01,1.4506989834362378e-5
2007-06-01,3.03530864226659e-5
2007-07-01,4.7984658682890945e-5
2007-08-01,1.95382052098841e-4
2007-09-01,4.0058422039325036e-4
2007-10-01,3.108640678791938e-4
2007-11-01,8.812597780698377e-5
2007-12-01,1.6164931529718078e-5
2008-01-01,2.6016931219427913e-5
2008-02-01,4.234128021985327e-5
2008-03-01,3.797324152247383e-5
2008-04-01,1.60055140590108e-5
2008-05-01,1.4634523810928202e-5
2008-06-01,2.614446519599374e-5
2008-07-01,3.676166874509851e-5
2008-08-01,1.2469634558723354e-4
2008-09-01,2.2477863369726322e-4
2008-10-01,1.529770048907048e-4
2008-11-01,1.1940368555975188e-4
2008-12-01,6.670026974392549e-5
2009-01-01,1.4730174293352569e-5
2009-02-01,3.759063959277636e-5
2009-03-01,2.958788256327096e-5
2009-04-01,1.5112776223050038e-5
2009-05-01,2.0341669262248787e-5
2009-06-01,1.6675067435981372e-5
2009-07-01,2.333871771154563e-5
2009-08-01,8.36304051330385e-5
2009-09-01,1.5626100478727476e-4
2009-10-01,1.61872499756171e-4
2009-11-01,1.617768492737466e-4
2009-12-01,1.2648182125915507e-4
2010-01-01,5.0981707132187785e-5
2010-02-01,6.367133780048719e-5
2010-03-01,5.171502749744127e-5
2010-04-01,2.496477591275987e-5
2010-05-01,2.4869125430335506e-5
2010-06-01,3.5741396932571923e-5
2010-07-01,7.50537452089869e-5
2010-08-01,2.5404768131911964e-4
2010-09-01,3.9433505554152504e-4
2010-10-01,3.091742426896967e-4
2010-11-01,4.7346988800061826e-5
2010-12-01,2.0564853721238975e-5
2011-01-01,4.285141612611656e-5
2011-02-01,4.8558561577437145e-5
2011-03-01,1.3167883080421236e-5
2011-04-01,9.596931736578188e-6
2011-05-01,1.1222989937792433e-5
2011-06-01,1.43475723636551e-5
2011-07-01,2.4040154582657655e-5
2011-08-01,9.35780553051727e-5
2011-09-01,1.4226415085917568e-4
2011-10-01,7.725370630474734e-5
2011-11-01,7.330015303120683e-5
2011-12-01,9.1569395174261e-5
2012-01-01,4.747452277662765e-5
